Month,all fuels (utility-scale) thousand megawatthours,coal_thousand_megawatthours,natural_gas_thousand_megawatthours
Aug 2017,384738.57978,119488.38491,141201.1381
Jul 2017,404432.47343,127697.82032,146929.43853
Jun 2017,358522.00694,107508.32219,117235.70085
May 2017,323446.73782,92776.54135,98019.31124
Apr 2017,295360.59057,81335.3131,88455.10059
Mar 2017,319335.75498,89364.62027,95073.66171
Feb 2017,291049.67177,86822.18986,82767.65084
Jan 2017,344332.03385,115332.80828,95572.22908
Dec 2016,345342.5767,118746.8419,96363.59628
Nov 2016,297061.77158,86940.46241,93941.8345
Oct 2016,312945.16374,99193.94367,102897.98607
Sep 2016,351484.46797,114137.76825,125602.73981
Aug 2016,409700.81159,135634.73331,154759.67321
Jul 2016,411886.94212,136316.43397,151553.87196
Jun 2016,367781.1956,116034.38414,131395.22913
May 2016,316784.45662,81694.51025,110430.1923
Apr 2016,292893.55015,72112.8619,98875.9473
Mar 2016,304389.58085,72172.52681,103889.93756
Feb 2016,313685.40058,92704.80797,98552.17908
Jan 2016,352719.066,113459.37975,110043.74673
Dec 2015,324427.22351,89495.07284,109776.67885
Nov 2015,300653.26754,87227.13603,102236.25483
Oct 2015,312111.67988,96758.50415,110005.03903
Sep 2015,350121.6482,117985.6322,123035.92238
Aug 2015,392116.20301,134670.3089,139083.7544
Jul 2015,400418.85275,139099.86855,141119.08134
Jun 2015,362409.20184,125673.11366,121477.74922
May 2015,322086.91212,104584.52668,101516.3545
Apr 2015,294133.34244,88989.1425,92805.99824
Mar 2015,324191.89356,108487.53856,99422.71998
Feb 2015,334475.54641,126976.83198,91315.16471
Jan 2015,360455.16729,132450.52066,101687.39262
Dec 2014,337956.65593,124620.11616,91037.8204
Nov 2014,317495.00913,119127.43937,84353.51326
Oct 2014,314521.99848,111295.95754,97683.01576
Sep 2014,339886.50552,126110.38461,106581.58568
Aug 2014,384341.14825,148451.62333,122348.42288
Jul 2014,385779.55148,149627.05758,115081.26949
Jun 2014,357844.04271,137576.92149,98467.60766
May 2014,324724.30012,118785.80061,89119.67653
Apr 2014,297630.58763,109280.59165,76781.87947
Mar 2014,331823.05904,136442.60132,78150.91836
Feb 2014,324348.43555,143294.48747,75942.31445
Jan 2014,377254.71096,157097.36861,91060.93439
Dec 2013,353021.24773,141859.66537,92936.2913
Nov 2013,314539.64185,120939.72975,84286.78492
Oct 2013,314925.46247,120996.39294,88587.40151
Sep 2013,340940.90155,133110.43729,102063.23334
Aug 2013,385285.74515,149426.0529,121156.39696
Jul 2013,394845.6208,152866.8527,120770.9808
Jun 2013,356822.64723,138283.21603,99615.06431
May 2013,322155.64042,119512.5,83815.59186
Apr 2013,299332.86831,111834.68254,78036.43182
Mar 2013,325398.83402,130633.56036,84725.25919
Feb 2013,309728.08,123546.80484,80283.07377
Jan 2013,348967.37792,138104.82108,88559.05007
Dec 2012,334634.74915,134078.90757,83989.0974
Nov 2012,305975.85101,128727.0657,80169.46107
Oct 2012,311651.9307,120999.33876,91725.37056
Sep 2012,334585.56266,125588.60805,108012.30069
Aug 2012,395699.74917,152181.05516,131735.86442
Jul 2012,414641.21748,160450.26253,138862.84998
Jun 2012,360825.3809,131261.03605,115597.50323
May 2012,336516.15597,115982.64658,107351.81228
Apr 2012,295229.20493,96285.44067,94828.59637
Mar 2012,309089.55207,105525.54678,92250.65327
Feb 2012,309389.43252,113872.04689,90609.78234
Jan 2012,339526.48011,129090.98981,90760.88378
Dec 2011,335740.46276,132928.71614,86121.62582
Nov 2011,304102.15444,121462.71077,75441.29818
Oct 2011,308698.50358,126626.97282,78819.20708
Sep 2011,337931.3176,140941.1491,91739.07009
Aug 2011,406511.31471,171280.53388,119855.79257
Jul 2011,418692.75464,176585.81965,119623.59113
Jun 2011,367727.015,158055.21258,90691.11156
May 2011,323628.23805,137101.56497,75242.79679
Apr 2011,302400.72444,124488.2575,70028.99891
Mar 2011,318709.9409,134845.23138,65947.12043
Feb 2011,313126.60705,138311.15723,65923.98289
Jan 2011,362871.89295,170802.67931,74254.33381
Dec 2010,362119.08129,167258.08616,77573.32016
Nov 2010,306009.62912,135185.04538,69226.55984
Oct 2010,307920.69056,132269.83506,77738.33651
Sep 2010,346045.17182,148745.67169,93004.17649
Aug 2010,408884.15537,177745.32008,121151.26856
Jul 2010,409725.44035,179600.4991,114624.20192
Jun 2010,375759.47838,165491.48889,92268.43063
May 2010,327936.49155,143272.49362,73665.43824
Apr 2010,287800.22656,126951.88534,64644.025
Mar 2010,312167.64032,144405.63319,63430.66033
Feb 2010,319734.72667,153044.15909,66198.08
Jan 2010,360957.16695,173320.16091,74172.73601
Dec 2009,350507.29527,166434.03556,71589.60705
Nov 2009,296634.66996,136809.57521,63285.13196
Oct 2009,307040.34065,139955.57738,72602.72548
Sep 2009,327400.61189,137144.64798,92126.61784
Aug 2009,381221.41693,163260.48308,109239.55406
Jul 2009,372542.22554,158233.86912,101893.83251
Jun 2009,347658.24126,148086.77111,84205.18154
May 2009,311305.87215,131673.05752,68145.64662
Apr 2009,289537.25513,125934.97312,61158.67362
Mar 2009,310602.96381,135530.3278,68202.74331
Feb 2009,300887.39769,140915.78476,62138.85332
Jan 2009,354992.63621,171925.15034,66390.11321
Dec 2008,343898.25447,167785.73046,64363.64603
Nov 2008,310046.2412,154281.19798,61454.19852
Oct 2008,318547.34311,151840.71519,73283.33855
Sep 2008,338056.12999,161356.34732,79136.02998
Aug 2008,388986.71877,180576.49295,99673.49348
Jul 2008,402900.33624,186733.45633,100320.87805
Jun 2008,373109.02691,171043.27903,84619.97663
May 2008,325244.80192,154915.90135,62270.44712
